date,price
1980-08-19,103.23
1980-09-18,114.41
1980-10-18,118.94
1980-11-17,113.58
1980-12-17,115.8
1981-01-16,104.91
1981-02-15,105.0
1981-03-17,120.36
1981-04-16,104.07
1981-05-16,100.55
1981-06-15,100.96
1981-07-15,106.61
1981-08-14,102.75
1981-09-13,102.89
1981-10-13,111.2
1981-11-12,113.46
1981-12-12,100.52
1982-01-11,100.24
1982-02-10,102.17
1982-03-12,121.52
1982-04-11,118.3
1982-05-11,102.46
1982-06-10,120.53
1982-07-10,110.1
1982-08-09,113.27
1982-09-08,102.38
1982-10-08,119.64
1982-11-07,108.21
1982-12-07,110.69
1983-01-06,102.57
1983-02-05,100.47
1983-03-07,117.47
1983-04-06,116.44
1983-05-06,101.57
1983-06-05,118.92
1983-07-05,119.0
1983-08-04,118.9
1983-09-03,108.73
1983-10-03,100.92
1983-11-02,120.02
1983-12-02,113.42
1984-01-01,105.22
1984-01-31,102.95
1984-03-01,108.38
1984-03-31,109.29
1984-04-30,116.12
1984-05-30,114.43
1984-06-29,112.25
1984-07-29,112.54
1984-08-28,107.45
1984-09-27,111.25
1984-10-27,112.66
1984-11-26,111.76
1984-12-26,106.4
1985-01-25,111.06
1985-02-24,121.6
1985-03-26,113.71
1985-04-25,117.46
1985-05-25,108.94
1985-06-24,106.46
1985-07-24,106.52
1985-08-23,113.9
1985-09-22,110.14
1985-10-22,114.94
1985-11-21,122.02
1985-12-21,101.72
1986-01-20,119.54
1986-02-19,100.47
1986-03-21,103.49
1986-04-20,118.22
1986-05-20,112.65
1986-06-19,113.2
1986-07-19,114.07
1986-08-18,112.64
1986-09-17,101.78
1986-10-17,105.16
1986-11-16,109.5
1986-12-16,120.33
1987-01-15,103.55
1987-02-14,120.89
1987-03-16,110.02
1987-04-15,109.3
1987-05-15,101.96
1987-06-14,118.05
1987-07-14,112.52
1987-08-13,102.73
1987-09-12,109.03
1987-10-12,102.72
1987-11-11,106.07
1987-12-11,111.12
1988-01-10,119.37
1988-02-09,106.38
1988-03-10,100.68
1988-04-09,113.09
1988-05-09,109.51
1988-06-08,114.91
1988-07-08,107.53
1988-08-07,109.5
1988-09-06,102.73
1988-10-06,119.68
1988-11-05,119.53
1988-12-05,114.9
1989-01-04,113.95
1989-02-03,122.24
1989-03-05,115.33
1989-04-04,117.23
1989-05-04,103.46
1989-06-03,114.83
1989-07-03,108.19
1989-08-02,100.97
1989-09-01,112.2
1989-10-01,112.73
1989-10-31,103.39
1989-11-30,115.72
1989-12-30,110.88
1990-01-29,120.13
1990-02-28,121.91
1990-03-30,102.77
1990-04-29,118.08
1990-05-29,108.82
1990-06-28,116.01
1990-07-28,116.45
1990-08-27,110.58
1990-09-26,101.76
1990-10-26,107.0
1990-11-25,104.0
