date,price
1980-08-19,120.54
1980-09-18,106.41
1980-10-18,116.03
1980-11-17,117.1
1980-12-17,104.58
1981-01-16,112.69
1981-02-15,110.19
1981-03-17,112.95
1981-04-16,105.64
1981-05-16,110.61
1981-06-15,109.57
1981-07-15,117.45
1981-08-14,121.37
1981-09-13,113.99
1981-10-13,114.59
1981-11-12,105.9
1981-12-12,104.66
1982-01-11,113.09
1982-02-10,111.35
1982-03-12,118.17
1982-04-11,100.18
1982-05-11,103.73
1982-06-10,101.14
1982-07-10,114.75
1982-08-09,117.97
1982-09-08,110.55
1982-10-08,122.81
1982-11-07,108.52
1982-12-07,122.97
1983-01-06,112.69
1983-02-05,115.56
1983-03-07,119.17
1983-04-06,108.76
1983-05-06,121.01
1983-06-05,103.3
1983-07-05,111.57
1983-08-04,112.99
1983-09-03,117.49
1983-10-03,101.84
1983-11-02,117.8
1983-12-02,118.26
1984-01-01,120.84
1984-01-31,103.11
1984-03-01,122.27
1984-03-31,101.85
1984-04-30,100.29
1984-05-30,116.2
1984-06-29,108.99
1984-07-29,109.36
1984-08-28,118.74
1984-09-27,110.56
1984-10-27,119.01
1984-11-26,122.21
1984-12-26,119.22
1985-01-25,109.9
1985-02-24,101.25
1985-03-26,118.8
1985-04-25,108.3
1985-05-25,106.51
1985-06-24,112.19
1985-07-24,111.83
1985-08-23,102.68
1985-09-22,117.95
1985-10-22,111.92
1985-11-21,100.81
1985-12-21,101.14
1986-01-20,116.25
1986-02-19,118.35
1986-03-21,121.44
1986-04-20,114.65
1986-05-20,105.96
1986-06-19,121.02
1986-07-19,102.28
1986-08-18,118.55
1986-09-17,120.23
1986-10-17,118.52
1986-11-16,103.73
1986-12-16,113.02
1987-01-15,113.07
1987-02-14,112.44
1987-03-16,110.61
1987-04-15,111.91
1987-05-15,103.31
1987-06-14,112.87
1987-07-14,115.83
1987-08-13,109.18
1987-09-12,117.02
1987-10-12,100.09
1987-11-11,112.46
1987-12-11,119.0
1988-01-10,122.96
1988-02-09,121.35
1988-03-10,106.42
1988-04-09,102.39
1988-05-09,103.25
1988-06-08,117.47
1988-07-08,109.0
1988-08-07,110.29
1988-09-06,102.69
1988-10-06,103.12
1988-11-05,118.64
1988-12-05,119.98
1989-01-04,110.11
1989-02-03,110.8
1989-03-05,106.31
1989-04-04,101.48
1989-05-04,103.88
1989-06-03,108.51
1989-07-03,122.21
1989-08-02,118.28
1989-09-01,104.41
1989-10-01,119.91
1989-10-31,113.74
1989-11-30,104.17
1989-12-30,122.05
1990-01-29,100.74
1990-02-28,109.22
1990-03-30,117.98
1990-04-29,114.46
1990-05-29,117.32
1990-06-28,115.46
1990-07-28,115.16
1990-08-27,114.31
1990-09-26,105.2
1990-10-26,122.06
1990-11-25,110.32
1990-12-25,109.05
1991-01-24,116.83
1991-02-23,102.15
1991-03-25,109.66
1991-04-24,100.56
1991-05-24,103.87
1991-06-23,117.08
1991-07-23,100.54
1991-08-22,120.51
1991-09-21,120.22
1991-10-21,106.49
1991-11-20,100.37
1991-12-20,117.47
1992-01-19,103.01
1992-02-18,103.91
1992-03-19,115.24
1992-04-18,119.94
1992-05-18,112.54
1992-06-17,119.08
1992-07-17,117.96
1992-08-16,100.8
1992-09-15,111.56
1992-10-15,114.62
1992-11-14,114.25
1992-12-14,101.48
1993-01-13,117.81
1993-02-12,118.3
1993-03-14,122.44
1993-04-13,119.58
1993-05-13,122.74
1993-06-12,115.99
1993-07-12,111.33
1993-08-11,107.39
1993-09-10,116.78
1993-10-10,119.86
1993-11-09,110.84
1993-12-09,105.51
1994-01-08,120.56
1994-02-07,117.59
1994-03-09,122.97
1994-04-08,118.43
1994-05-08,117.18
1994-06-07,120.23
1994-07-07,107.89
1994-08-06,104.97
1994-09-05,120.38
1994-10-05,107.87
1994-11-04,107.02
1994-12-04,105.45
1995-01-03,117.67
1995-02-02,114.14
1995-03-04,116.26
1995-04-03,115.14
1995-05-03,102.79
1995-06-02,118.07
1995-07-02,110.38
1995-08-01,109.47
1995-08-31,122.49
1995-09-30,113.29
1995-10-30,106.58
1995-11-29,118.48
1995-12-29,118.58
1996-01-28,118.51
1996-02-27,116.52
1996-03-28,103.52
1996-04-27,111.33
1996-05-27,104.97
1996-06-26,122.92
1996-07-26,113.72
1996-08-25,111.9
1996-09-24,110.78
1996-10-24,105.21
1996-11-23,117.16
1996-12-23,120.83
1997-01-22,114.44
1997-02-21,122.81
1997-03-23,102.36
1997-04-22,114.13
1997-05-22,107.56
1997-06-21,109.96
1997-07-21,107.02
1997-08-20,101.91
1997-09-19,106.46
1997-10-19,117.15
1997-11-18,122.33
1997-12-18,114.18
1998-01-17,119.83
1998-02-16,118.04
1998-03-18,106.06
1998-04-17,105.51
1998-05-17,104.03
1998-06-16,109.9
1998-07-16,102.27
1998-08-15,103.71
1998-09-14,111.47
1998-10-14,111.01
1998-11-13,101.48
1998-12-13,119.32
1999-01-12,109.3
1999-02-11,106.94
1999-03-13,105.15
1999-04-12,102.12
1999-05-12,102.11
1999-06-11,111.01
1999-07-11,113.6
1999-08-10,107.55
1999-09-09,103.35
1999-10-09,101.09
1999-11-08,116.03
1999-12-08,117.88
2000-01-07,112.87
2000-02-06,109.75
2000-03-07,120.79
2000-04-06,111.88
2000-05-06,116.3
2000-06-05,121.17
2000-07-05,116.06
2000-08-04,107.49
2000-09-03,121.36
2000-10-03,105.32
2000-11-02,122.93
2000-12-02,107.3
2001-01-01,121.87
2001-01-31,103.77
2001-03-02,102.84
2001-04-01,108.03
2001-05-01,119.44
2001-05-31,104.91
2001-06-30,119.21
2001-07-30,111.29
2001-08-29,115.89
2001-09-28,108.76
2001-10-28,107.63
2001-11-27,120.42
2001-12-27,122.82
2002-01-26,122.22
2002-02-25,122.83
2002-03-27,118.51
2002-04-26,101.49
2002-05-26,101.77
2002-06-25,110.69
2002-07-25,120.97
2002-08-24,118.15
2002-09-23,121.26
2002-10-23,112.85
2002-11-22,116.53
2002-12-22,121.77
2003-01-21,106.14
2003-02-20,118.59
2003-03-22,117.03
2003-04-21,110.01
2003-05-21,108.57
2003-06-20,108.08
2003-07-20,116.15
2003-08-19,108.07
2003-09-18,111.09
2003-10-18,117.14
2003-11-17,122.39
2003-12-17,122.03
2004-01-16,117.4
2004-02-15,100.11
2004-03-16,108.07
2004-04-15,111.53
2004-05-15,103.45
2004-06-14,105.16
2004-07-14,111.14
2004-08-13,106.71
2004-09-12,111.95
2004-10-12,113.17
2004-11-11,120.17
2004-12-11,113.42
2005-01-10,104.4
2005-02-09,100.54
2005-03-11,101.21
2005-04-10,106.57
2005-05-10,112.26
2005-06-09,122.81
2005-07-09,120.13
2005-08-08,112.03
2005-09-07,103.87
2005-10-07,114.01
2005-11-06,108.21
2005-12-06,118.67
2006-01-05,121.48
2006-02-04,113.04
2006-03-06,106.89
2006-04-05,107.19
2006-05-05,120.32
2006-06-04,114.91
2006-07-04,112.44
2006-08-03,105.62
2006-09-02,103.71
2006-10-02,107.44
2006-11-01,121.53
2006-12-01,107.66
2006-12-31,116.18
2007-01-30,107.27
2007-03-01,116.23
2007-03-31,110.06
2007-04-30,104.88
2007-05-30,117.45
2007-06-29,118.7
2007-07-29,116.4
2007-08-28,104.49
2007-09-27,116.02
2007-10-27,115.62
2007-11-26,118.79
2007-12-26,122.66
2008-01-25,121.94
2008-02-24,105.45
2008-03-25,117.35
2008-04-24,109.12
2008-05-24,119.67
2008-06-23,105.37
2008-07-23,115.98
2008-08-22,121.95
2008-09-21,122.25
2008-10-21,112.79
2008-11-20,120.94
2008-12-20,111.0
2009-01-19,103.06
2009-02-18,112.15
2009-03-20,106.37
2009-04-19,111.33
2009-05-19,121.31
2009-06-18,120.41
2009-07-18,118.1
2009-08-17,100.39
2009-09-16,116.95
2009-10-16,121.5
2009-11-15,108.23
2009-12-15,105.55
2010-01-14,119.26
2010-02-13,116.85
2010-03-15,120.16
2010-04-14,113.08
2010-05-14,111.2
2010-06-13,106.25
2010-07-13,119.39
2010-08-12,105.9
2010-09-11,103.61
2010-10-11,106.28
2010-11-10,103.47
2010-12-10,118.92
2011-01-09,114.63
2011-02-08,106.55
2011-03-10,118.8
2011-04-09,116.75
2011-05-09,102.56
2011-06-08,113.6
2011-07-08,118.59
2011-08-07,121.39
2011-09-06,110.89
2011-10-06,108.32
2011-11-05,119.51
2011-12-05,102.55
2012-01-04,110.17
2012-02-03,122.34
2012-03-04,111.46
2012-04-03,113.25
2012-05-03,102.25
2012-06-02,105.99
2012-07-02,104.16
2012-08-01,103.47
2012-08-31,120.17
2012-09-30,109.65
2012-10-30,118.99
2012-11-29,120.58
2012-12-29,111.3
2013-01-28,108.14
2013-02-27,120.18
2013-03-29,104.28
2013-04-28,104.43
2013-05-28,110.55
2013-06-27,101.92
2013-07-27,107.35
2013-08-26,116.08
2013-09-25,112.08
2013-10-25,116.94
2013-11-24,113.01
2013-12-24,122.17
2014-01-23,111.08
2014-02-22,102.47
2014-03-24,122.1
2014-04-23,113.52
2014-05-23,109.17
2014-06-22,112.47
2014-07-22,107.64
2014-08-21,107.9
2014-09-20,112.5
2014-10-20,105.38
2014-11-19,119.14
2014-12-19,118.45
2015-01-18,113.74
2015-02-17,104.85
2015-03-19,107.26
2015-04-18,105.1
2015-05-18,116.59
2015-06-17,117.29
2015-07-17,110.96
2015-08-16,122.25
2015-09-15,107.86
2015-10-15,108.48
2015-11-14,120.83
2015-12-14,121.43
2016-01-13,112.54
2016-02-12,115.23
2016-03-13,111.05
2016-04-12,111.23
2016-05-12,106.75
2016-06-11,122.56
2016-07-11,117.35
2016-08-10,107.03
2016-09-09,100.18
2016-10-09,106.38
2016-11-08,112.99
