date,price
2001-08-17,2.54
2001-09-16,1.24
2001-10-16,1.25
2001-11-15,2.43
2001-12-15,1.11
2002-01-14,1.01
2002-02-13,1.42
2002-03-15,1.37
2002-04-14,2.86
2002-05-14,1.22
2002-06-13,2.84
2002-07-13,1.64
2002-08-12,1.5
2002-09-11,2.4
2002-10-11,1.38
2002-11-10,2.98
2002-12-10,1.19
2003-01-09,1.25
2003-02-08,2.13
2003-03-10,1.11
2003-04-09,2.08
2003-05-09,2.21
2003-06-08,1.48
2003-07-08,2.17
2003-08-07,1.91
2003-09-06,2.05
2003-10-06,1.41
2003-11-05,2.1
2003-12-05,1.14
2004-01-04,1.58
2004-02-03,1.64
2004-03-04,1.65
2004-04-03,1.56
2004-05-03,2.53
2004-06-02,2.21
2004-07-02,2.8
2004-08-01,2.87
2004-08-31,2.0
2004-09-30,1.23
2004-10-30,1.61
2004-11-29,1.66
2004-12-29,1.69
2005-01-28,2.41
2005-02-27,2.23
2005-03-29,1.61
2005-04-28,2.8
2005-05-28,1.24
2005-06-27,2.41
2005-07-27,1.52
2005-08-26,1.75
2005-09-25,1.24
2005-10-25,2.46
2005-11-24,1.97
2005-12-24,1.97
2006-01-23,1.56
2006-02-22,1.21
2006-03-24,1.25
2006-04-23,1.07
2006-05-23,1.9
2006-06-22,2.39
2006-07-22,1.3
2006-08-21,1.02
2006-09-20,2.99
2006-10-20,2.43
2006-11-19,2.64
2006-12-19,1.82
2007-01-18,2.56
2007-02-17,2.44
2007-03-19,2.39
2007-04-18,2.42
2007-05-18,1.29
2007-06-17,1.16
2007-07-17,1.19
2007-08-16,1.09
2007-09-15,2.3
2007-10-15,2.27
2007-11-14,1.25
2007-12-14,2.45
2008-01-13,2.11
2008-02-12,1.3
2008-03-13,2.48
2008-04-12,2.63
2008-05-12,2.94
2008-06-11,1.17
2008-07-11,2.19
2008-08-10,1.23
2008-09-09,1.89
2008-10-09,2.53
2008-11-08,2.81
2008-12-08,1.89
2009-01-07,2.21
2009-02-06,1.9
2009-03-08,2.92
2009-04-07,1.62
2009-05-07,1.58
2009-06-06,1.78
2009-07-06,1.01
2009-08-05,1.89
2009-09-04,1.09
2009-10-04,1.98
2009-11-03,2.89
2009-12-03,2.99
2010-01-02,2.64
2010-02-01,1.28
2010-03-03,1.18
2010-04-02,1.17
2010-05-02,2.83
2010-06-01,1.68
2010-07-01,2.5
2010-07-31,1.7
2010-08-30,2.02
2010-09-29,2.07
2010-10-29,2.68
2010-11-28,1.32
2010-12-28,1.06
2011-01-27,2.83
2011-02-26,2.81
2011-03-28,1.83
2011-04-27,1.98
2011-05-27,2.73
2011-06-26,1.54
2011-07-26,2.17
2011-08-25,2.49
2011-09-24,1.06
2011-10-24,2.57
2011-11-23,1.06
2011-12-23,2.3
2012-01-22,1.57
2012-02-21,2.07
2012-03-22,1.58
2012-04-21,1.54
2012-05-21,2.53
2012-06-20,2.9
2012-07-20,2.09
2012-08-19,2.2
2012-09-18,2.86
2012-10-18,2.14
2012-11-17,1.33
2012-12-17,1.98
2013-01-16,2.24
2013-02-15,1.33
2013-03-17,1.03
2013-04-16,1.55
2013-05-16,1.17
2013-06-15,1.64
2013-07-15,2.59
2013-08-14,2.21
2013-09-13,2.06
2013-10-13,1.12
2013-11-12,1.87
2013-12-12,2.9
2014-01-11,2.17
2014-02-10,1.81
2014-03-12,2.25
2014-04-11,2.31
2014-05-11,1.43
2014-06-10,1.41
2014-07-10,1.5
2014-08-09,2.09
2014-09-08,2.37
2014-10-08,2.54
2014-11-07,2.48
2014-12-07,1.91
2015-01-06,1.09
2015-02-05,1.73
2015-03-07,1.17
2015-04-06,1.61
2015-05-06,2.88
2015-06-05,2.83
2015-07-05,1.24
2015-08-04,1.38
2015-09-03,1.47
2015-10-03,1.8
2015-11-02,1.39
2015-12-02,1.81
2016-01-01,1.5
2016-01-31,2.19
2016-03-01,2.25
2016-03-31,1.54
2016-04-30,1.85
2016-05-30,2.76
2016-06-29,2.9
2016-07-29,2.89
2016-08-28,1.34
2016-09-27,2.3
2016-10-27,2.72
2016-11-26,1.88
2016-12-26,2.37
2017-01-25,2.63
2017-02-24,1.86
2017-03-26,1.15
2017-04-25,2.75
2017-05-25,2.99
2017-06-24,1.85
2017-07-24,2.35
2017-08-23,2.91
2017-09-22,2.91
2017-10-22,1.54
2017-11-21,2.53
2017-12-21,1.45
2018-01-20,2.94
2018-02-19,1.74
2018-03-21,2.37
2018-04-20,1.45
2018-05-20,2.11
2018-06-19,2.94
2018-07-19,2.98
2018-08-18,1.28
2018-09-17,2.46
2018-10-17,2.3
2018-11-16,1.69
2018-12-16,2.28
2019-01-15,1.92
2019-02-14,1.97
2019-03-16,1.92
2019-04-15,2.18
2019-05-15,1.21
2019-06-14,1.8
2019-07-14,2.0
2019-08-13,2.68
2019-09-12,1.76
2019-10-12,1.28
2019-11-11,2.03
2019-12-11,2.27
2020-01-10,1.25
2020-02-09,1.4
2020-03-10,1.48
2020-04-09,2.94
2020-05-09,1.52
2020-06-08,2.98
2020-07-08,2.74
2020-08-07,1.81
2020-09-06,2.35
2020-10-06,1.3
2020-11-05,1.74
2020-12-05,2.33
2021-01-04,1.69
2021-02-03,1.05
2021-03-05,1.86
2021-04-04,1.96
2021-05-04,2.1
2021-06-03,2.31
2021-07-03,2.17
2021-08-02,2.19
