date,price
2000-08-17,131.01
2000-09-16,136.27
2000-10-16,131.34
2000-11-15,109.47
2000-12-15,112.97
2001-01-14,108.28
2001-02-13,149.1
2001-03-15,114.11
2001-04-14,123.39
2001-05-14,144.35
2001-06-13,113.54
2001-07-13,117.97
2001-08-12,113.4
2001-09-11,134.21
2001-10-11,121.1
2001-11-10,122.7
2001-12-10,136.33
2002-01-09,141.27
2002-02-08,106.36
2002-03-10,109.5
2002-04-09,112.61
2002-05-09,129.59
2002-06-08,100.55
2002-07-08,136.88
2002-08-07,111.4
2002-09-06,114.75
2002-10-06,124.32
2002-11-05,128.12
2002-12-05,133.73
2003-01-04,128.97
2003-02-03,118.04
2003-03-05,109.75
2003-04-04,116.3
2003-05-04,142.52
2003-06-03,134.13
2003-07-03,146.59
2003-08-02,108.54
2003-09-01,101.11
2003-10-01,138.83
2003-10-31,147.43
2003-11-30,105.43
2003-12-30,144.86
2004-01-29,133.66
2004-02-28,128.23
2004-03-29,139.5
2004-04-28,118.03
2004-05-28,119.87
2004-06-27,108.1
2004-07-27,119.17
2004-08-26,114.16
2004-09-25,137.2
2004-10-25,122.97
2004-11-24,114.44
2004-12-24,113.1
2005-01-23,124.07
2005-02-22,111.66
2005-03-24,147.84
2005-04-23,133.64
2005-05-23,119.04
2005-06-22,133.97
2005-07-22,134.68
2005-08-21,140.19
2005-09-20,149.56
2005-10-20,149.76
2005-11-19,137.67
2005-12-19,115.78
2006-01-18,101.0
2006-02-17,124.86
2006-03-19,117.91
2006-04-18,140.84
2006-05-18,119.7
2006-06-17,123.17
2006-07-17,124.35
2006-08-16,148.23
2006-09-15,124.23
2006-10-15,118.5
2006-11-14,147.79
2006-12-14,139.97
2007-01-13,102.85
2007-02-12,136.55
2007-03-14,107.05
2007-04-13,106.27
2007-05-13,146.15
2007-06-12,123.08
2007-07-12,111.26
2007-08-11,105.98
2007-09-10,114.27
2007-10-10,119.11
2007-11-09,142.44
2007-12-09,143.33
2008-01-08,148.35
2008-02-07,116.99
2008-03-08,128.9
2008-04-07,126.87
2008-05-07,115.64
2008-06-06,108.71
2008-07-06,115.76
2008-08-05,126.96
2008-09-04,147.57
2008-10-04,107.87
2008-11-03,117.54
2008-12-03,120.68
2009-01-02,126.26
2009-02-01,100.83
2009-03-03,140.41
2009-04-02,121.21
2009-05-02,147.76
2009-06-01,143.52
2009-07-01,131.11
2009-07-31,129.92
2009-08-30,100.49
2009-09-29,122.78
2009-10-29,120.38
2009-11-28,124.08
2009-12-28,136.92
2010-01-27,126.77
2010-02-26,133.44
2010-03-28,112.99
2010-04-27,133.73
2010-05-27,103.27
2010-06-26,104.68
2010-07-26,112.89
2010-08-25,116.95
2010-09-24,138.11
2010-10-24,137.68
2010-11-23,127.14
2010-12-23,129.59
2011-01-22,107.56
2011-02-21,147.06
2011-03-23,102.15
2011-04-22,104.22
2011-05-22,125.61
2011-06-21,104.36
2011-07-21,124.21
2011-08-20,149.1
2011-09-19,129.68
2011-10-19,147.45
2011-11-18,133.77
2011-12-18,142.94
2012-01-17,119.2
2012-02-16,106.78
2012-03-17,113.72
2012-04-16,133.6
2012-05-16,107.83
2012-06-15,143.19
2012-07-15,109.25
2012-08-14,127.04
2012-09-13,135.3
2012-10-13,145.91
2012-11-12,114.54
2012-12-12,110.23
2013-01-11,134.51
2013-02-10,110.65
2013-03-12,104.71
2013-04-11,105.25
2013-05-11,147.12
2013-06-10,109.24
2013-07-10,125.36
2013-08-09,140.96
2013-09-08,135.73
2013-10-08,125.64
2013-11-07,131.46
2013-12-07,110.34
2014-01-06,112.11
2014-02-05,131.23
2014-03-07,112.62
